source_key,provider,dataset_product,study_role,time_scope,stable_authority_url,exact_access_url,identifier,license_note,redistributed_here,provenance_basis,scientific_boundary
NSW_REHABILITATION_L03,NSW Resources - Resources Regulator,Mine Rehabilitation Data / Annual Submission Data - Rehabilitation,Mine geometry and snapshot rehabilitation provenance; descriptive mapped-rehabilitation exposure only,Frozen public snapshot used in Stage1/Stage2A,https://data.nsw.gov.au/data/dataset/mine-rehabilitation,https://dreags.aamgeocloud.com/arcgis/rest/services/Mine_Rehabilitation/Mine_Rehabilitation/MapServer/3,ArcGIS MapServer layer 3: Rehabilitation,Creative Commons Attribution (as stated by Data.NSW),No raw source polygons,Stage1 L03 cleaner input + official Data.NSW/ArcGIS layer identity,Not an annual longitudinal treatment series; ChartDt is not interpreted as treatment-event date.
NSW_DISTURBANCE_L04,NSW Resources - Resources Regulator,Mine Rehabilitation Data / Annual Submission Data - Disturbance,Mine footprint/disturbance geometry used with L03 to define spatial support,Frozen public snapshot used in Stage1/Stage2A,https://data.nsw.gov.au/data/dataset/mine-rehabilitation,https://dreags.aamgeocloud.com/arcgis/rest/services/Mine_Rehabilitation/Mine_Rehabilitation/MapServer/4,ArcGIS MapServer layer 4: Disturbance,Creative Commons Attribution (as stated by Data.NSW),No raw source polygons,Stage1 L04 cleaner input + official Data.NSW/ArcGIS layer identity,Not a substitute for longitudinal rehabilitation treatment.
DEA_FRACTIONAL_COVER,Geoscience Australia / Digital Earth Australia,"DEA Fractional Cover (Landsat), Geoscience Australia Landsat Fractional Cover Collection 3",PV and UE EO variables; PV 2024-2025 defines the real NSW observed-product response; 2023/2024 information contributes pretreatment predictors,"2023, 2024, 2025",https://pid.geoscience.gov.au/dataset/ga/145498,https://explorer.dea.ga.gov.au/stac,"STAC collection/product ga_ls_fc_3; measurements pv, ue",CC BY 4.0,No raw DEA COGs,Frozen Stage2B v1.2.0-local-stac source contract,Observed satellite product; not latent ecological truth.
DEA_WATER_OBSERVATIONS,Geoscience Australia / Digital Earth Australia,"DEA Water Observations (Landsat), Geoscience Australia Landsat Water Observations Collection 3",Water/clear-dry quality screening paired with DEA Fractional Cover,"2023, 2024, 2025",https://doi.org/10.26186/146257,https://explorer.dea.ga.gov.au/stac,STAC collection/product ga_ls_wo_3; measurement water,CC BY 4.0,No raw DEA COGs,Frozen Stage2B v1.2.0-local-stac source contract,WOfS dry rule in frozen code: water bitfield exactly 0.
SILO_DAILY_RAIN,Queensland Government / SILO,SILO gridded daily rainfall,Annual rainfall context covariates,2023 and 2024,https://longpaddock.qld.gov.au/silo/gridded-data/,https://s3-ap-southeast-2.amazonaws.com/silo-open-data/Official/annual/daily_rain/<YEAR>.daily_rain.nc,SILO variable daily_rain,CC BY 4.0 (SILO official access/licence page),No original annual NetCDF files,Accepted Stage5A SOURCE_PROVENANCE_MANIFEST.json,Frozen annual source files are listed in exact asset registry.
SILO_SHORT_CROP_ET,Queensland Government / SILO,SILO FAO56 short-crop reference evapotranspiration,Annual short-crop ET context covariates,2023 and 2024,https://longpaddock.qld.gov.au/silo/gridded-data/,https://s3-ap-southeast-2.amazonaws.com/silo-open-data/Official/annual/et_short_crop/<YEAR>.et_short_crop.nc,SILO variable et_short_crop,CC BY 4.0 (SILO official access/licence page),No original annual NetCDF files,Accepted Stage5A SOURCE_PROVENANCE_MANIFEST.json,Frozen annual source files are listed in exact asset registry.
TERN_SOC_R2,TERN / Soil and Landscape Grid of Australia,"Organic Carbon, Release 2",SOC 0-15 cm context covariate,0-5 and 5-15 cm layers,https://doi.org/10.25919/ejhm-c070,See exact frozen TERN asset registry,SOC Release 2,Use source-product terms at DOI landing page,No national TERN rasters,Accepted Stage5A SOURCE_PROVENANCE_MANIFEST.json,0-15 cm value is depth harmonized from 0-5 and 5-15 cm.
TERN_PH_CACL2_R2,TERN / Soil and Landscape Grid of Australia,"pH - Calcium Chloride, Release 2",pH(CaCl2) 0-15 cm context covariate,0-5 and 5-15 cm layers,https://doi.org/10.25919/7320-hw30,See exact frozen TERN asset registry,PHC Release 2,Use source-product terms at DOI landing page,No national TERN rasters,Accepted Stage5A SOURCE_PROVENANCE_MANIFEST.json,0-15 cm value is depth harmonized from 0-5 and 5-15 cm.
TERN_CLAY_R2,TERN / Soil and Landscape Grid of Australia,"Clay, Release 2",Clay 0-15 cm context covariate,0-5 and 5-15 cm layers,https://doi.org/10.25919/hc4s-3130,See exact frozen TERN asset registry,CLY Release 2,Use source-product terms at DOI landing page,No national TERN rasters,Accepted Stage5A SOURCE_PROVENANCE_MANIFEST.json,0-15 cm value is depth harmonized from 0-5 and 5-15 cm.
TERN_BULK_DENSITY_R2,TERN / Soil and Landscape Grid of Australia,"Bulk Density - Whole Earth, Release 2",Bulk density 0-15 cm context covariate,0-5 and 5-15 cm layers,https://doi.org/10.25919/gxyn-pd07,See exact frozen TERN asset registry,BDW Release 2,Use source-product terms at DOI landing page,No national TERN rasters,Accepted Stage5A SOURCE_PROVENANCE_MANIFEST.json,"Collection-level unit authority is g/cm3. Two frozen asset metadata records label Percent; documented as metadata inconsistency, not numerical transformation error."
TERN_AWC_R2,TERN / Soil and Landscape Grid of Australia,"Available Volumetric Water Capacity (Percent), Version 2",Available water capacity 0-100 cm context covariate,"0-5, 5-15, 15-30, 30-60, 60-100 cm layers",https://doi.org/10.25919/4jwj-na34,See exact frozen TERN asset registry,AWC Version 2,Use source-product terms at DOI landing page,No national TERN rasters,Accepted Stage5A SOURCE_PROVENANCE_MANIFEST.json,Percent values are integrated over layer thickness to 0-100 cm water-capacity depth.
GA_SRTM_DEM,Geoscience Australia,SRTM-derived 1 Second Digital Elevation Models Version 1.0 / official 2024 DEM service,"Elevation source; slope, aspect and roughness derived locally",Static terrain source,https://pid.geoscience.gov.au/dataset/ga/72759,https://services.ga.gov.au/gis/services/DEM_SRTM_1Second_2024/MapServer/WCSServer,GA persistent ID 72759; WCS coverage 1 in frozen Stage5A acquisition,CC BY 4.0,No national DEM; frozen acquisition metadata only,Accepted Stage5A SOURCE_PROVENANCE_MANIFEST.json,"Slope, aspect and roughness are derived products, not separate external datasets."
