item_id,category,item,status,rule
E01,methods,MineDoseBench reduced five-method comparison,FROZEN,"Use exactly M2 dose-only; M3 residual-graph spatial-only; M4 naive dose×spatial marginal; M5 graph-safe fallback; M6 GeoDose-CP as the primary MineDoseBench comparison, matching the definitive proposal. M1 remains controlled-simulation/real-demonstration context and is not a primary MineDoseBench method."
E02,ablations,H1/H4 heuristic ablations,EXCLUDED_PRIMARY_MDB,"Do not add H1/H4 to the primary MineDoseBench comparison. They remain controlled-simulation heuristic ablations unless separately preregistered before benchmark performance."
E03,route,primary MineDoseBench route,FROZEN,"N2/N3 scalable route with m=64; exact G2/G3 used only as registered audit on tractable size-6 blocks"
E04,thresholds,operational support thresholds,FROZEN,"ESS>=3; max normalized weight<=0.50; graph-safe count>=20; N3 lower bound finite and >0; no MineDoseBench retuning"
E05,target_selection,primary target sampling,FROZEN,"For each case x replication x mine choose five distinct test-target blocks before outcomes. Uniform-target cases use frozen target_draw_seed plus block IDs only. The registered target-design-shift case samples without replacement proportional to its frozen pretreatment target-design ratio r(U), never using A, Y, support diagnostics, or method results."
E06,repetitions,benchmark repetitions,FROZEN,"20 registered independent benchmark replications with MineDoseBench-specific seeds; intentional common-random-number sharing is allowed only within the same frozen common_random_group x replication x stream key"
E07,coverage,marginal/selective coverage,FROZEN,"Coverage at realized localized stochastic Y(A*) among returned queries; report refusal separately and never count refusals as noncoverage"
E08,local_coverage,mine/dose/local coverage,FROZEN,"Use five pre-outcome targets per mine per replication to support mine-level, dose-bin, spatial-stratum and fifth-percentile local summaries without claiming exact conditional coverage"
E09,calibration,absolute calibration error,FROZEN,"abs(empirical selective coverage-0.90), with Monte Carlo uncertainty clustered by replication and mine"
E10,efficiency,width at matched coverage,FROZEN,"Compare widths only when absolute selective-coverage difference <=0.03; otherwise label unmatched and do not claim efficiency superiority"
E11,efficiency_subset,full numerical inversion subset,FROZEN,"For S4 rho in {0,.2,.4,.6,.8}, use replications 1 and 20 and one pre-frozen efficiency target per mine = 10 queries per rho = 50 total. Candidate domain is the physical fractional-cover-change domain [-1,1]."
E12,WIS,weighted interval score,FROZEN,"Compute on the registered physical candidate domain [-1,1]; mathematically unbounded comparator intervals remain unbounded and are never silently capped for WIS"
E13,rmse,dose-response RMSE,FROZEN,"Evaluate predictor dose-response against known hard-dose truth on the frozen seven-dose grid; report latent truth separately from S9 observed product"
E14,support,ESS/max-weight/graph-safe diagnostics,FROZEN,"Report distributions, operational-return status, false-support rate when truth/support status is known"
E15,refusal,refusal rate and codes,FROZEN,"Every query reports raw method status and operational refusal code; no supported query may be dropped without a registered code"
E16,false_support,false-support rate,FROZEN,"Primary deployment safety metric when oracle support truth is available"
E17,diagnostic,coverage-loss diagnostic error,FROZEN,"Compare registered N2/N3 certificate/diagnostic to empirical undercoverage; Moran/semivariogram are diagnostic only"
E18,S9,measurement error,FROZEN,"Report coverage for observed satellite-product Y and latent Y_true separately; do not mislabel product error as conformal failure"
E19,S10,MAUP,FROZEN,"Run complete 90m and anchored 180m analyses independently. The 180m support is formed from the complete anchored child-cell inventory and is benchmark-eligible only when every available 90m child is baseline-eligible; no scalar correction substitutes for changed support."
E20,ST2,temporal stress,FROZEN,"Structural/cross-sectional proxy unless a separately frozen temporal conformal method exists; no temporal-method theorem claim"
E21,ST3,C2 negative control,FROZEN,"Use a hidden spatial GMRF confounder to show conformal calibration does not repair causal identification failure; exclude from positive causal-validity claims"
E22,LOMO,leave-one-mine-out variant,FROZEN,"Use frozen Stage3A mine-role rotations; nuisance/support/calibration exclude held-out test mine; scalable transfer analysis; exact local orbit not forced across disconnected mines"
E23,predictors,outcome predictors,FROZEN,"RF primary conventional predictor; XGBoost confirmation only in the already frozen S1/S4/S5/S8 scope. Allowed predictors are frozen pretreatment substrate/context/geometry features; oracle truth, hidden_u, future 2025 PV, role labels, target outcomes and support diagnostics are forbidden predictors."
E24,claim,first benchmark wording,FROZEN,"No 'first benchmark' claim without separate dated benchmark-specific literature audit"
E25,performance_freeze,outcome-blind benchmark freeze,FROZEN,"Stage5A benchmark bytes, splits, context, scenarios, seeds, target rules and evaluation contract must be accepted/frozen before Stage5B method performance is inspected"
E26,exact_audit,exact G2/G3 audit target sampling,FROZEN,"For each case x replication x mine choose one exact-size6-eligible test target using the dedicated exact_audit_seed and block IDs only; if none exists, record exact-audit unavailable rather than fabricating a cross-mine orbit"
E27,endpoints,endpoint query audit,FROZEN,"MDB_ST1_MIXED_ATOMS must evaluate exact endpoint target doses 0 and 1 in addition to its interior reference query; MDB_ST1_INTERIOR_ONLY must issue endpoint 0 and 1 negative-control queries and require refusal because those atoms are unaudited"
E28,target_design,target-design-shift population,FROZEN,"Only MDB_S4_RHO060_DESIGN_SHIFT uses nonidentity target-design sampling. The benchmark target population preserves equal mine mass; within each mine, target blocks are drawn from the frozen test frame with probability proportional to r(U), and oracle r(U) is normalized so E_obs[r|mine]=1. q_h/g remains a different object."
E29,physical_domain,physical outcome support,FROZEN,"Green fractional-cover change is represented as a proportion. Numerical inversion domain is [-1,1]. Stage5A audits its materialized validation truth. Stage5B must audit each regenerated case-replication against [-1,1] before any method is evaluated for that case-rep; any violation is a fail-closed benchmark-generation error and is never clipped."
E30,information_separation,nuisance/support/calibration/test separation,FROZEN,"Fit outcome/treatment/spatial nuisance objects only on nuisance-training outcomes as permitted; support-audit outcomes are never used for fitting or calibration; calibration outcomes are used only for conformal calibration; test-target outcomes/truth are evaluation-only. Buffer and secondary-support-stratum outcomes are never used to improve a primary query."
